Question #,Question,Type,Option 1,Option 2,Required
383,İnsanlar çoğu zaman beni hayal kırıklığına uğratırlar,Multiple choice,Evet,Hayır,TRUE
384,Kendimle ilgili her şeyi anlatabileceğim hiç kimse yok,Multiple choice,Evet,Hayır,TRUE
385,Şimşek çakması da korkularımdan biridir,Multiple choice,Evet,Hayır,TRUE
386,Çok tertipli ve titizim,Multiple choice,Evet,Hayır,TRUE
387,Ailem her davranışıma fazla karışıyor,Multiple choice,Evet,Hayır,TRUE
388,Karanlıkta yalnız kalmaktan korkarım,Multiple choice,Evet,Hayır,TRUE
389,Tasarlamış olduğum planlar çok defa o kadar güçlükle dolu göründü ki bunlardan vazgeçmek zorunda kaldım,Multiple choice,Evet,Hayır,TRUE
390,Birinin hatasını önleme gayretimin yanlış anlaşılmasına çok üzülürüm,Multiple choice,Evet,Hayır,TRUE
391,Dansa gitmeyi severim,Multiple choice,Evet,Hayır,TRUE
392,Fırtınadan çok korkarım,Multiple choice,Evet,Hayır,TRUE
393,Yük çekmeyen atlar dövülmeli ya da kamçılanmalıdır,Multiple choice,Evet,Hayır,TRUE
394,Başkalarına sık sık akıl danışırım,Multiple choice,Evet,Hayır,TRUE
395,"Gelecek, bir insanın ciddi planlar yapamayacağı kadar belirsizdir",Multiple choice,Evet,Hayır,TRUE
396,İşler yolunda gittiği zaman bile çoğu kez her şeye karşı bir aldırmazlık içinde olduğumu hissederim,Multiple choice,Evet,Hayır,TRUE
397,Bazen güçlükler öylesine üst üste gelir ki onlarla baş edemeyecekmişim gibi hissederim,Multiple choice,Evet,Hayır,TRUE
398,Çoğu kez keşke tekrar çocuk olsaydım diye düşünürüm,Multiple choice,Evet,Hayır,TRUE
399,Kolay kolay kızmam,Multiple choice,Evet,Hayır,TRUE
400,Eğer bana fırsat verilse dünya için çok yararlı işler yapabilirim,Multiple choice,Evet,Hayır,TRUE
401,Sudan hiç korkmam,Multiple choice,Evet,Hayır,TRUE
402,Ne yapacağıma karar vermeden önce uzun uzun düşünürüm,Multiple choice,Evet,Hayır,TRUE
403,Birçok şeyin olup bittiği böyle bir devirde yaşamak hoş bir şey,Multiple choice,Evet,Hayır,TRUE
404,Hatalarını düzelterek kendilerine yardım etmeye çalıştığım insanlar amacımı çoğu kez yanlış anlarlar,Multiple choice,Evet,Hayır,TRUE
405,Yutkunmakta güçlük çekmem,Multiple choice,Evet,Hayır,TRUE
406,Uzman dendiği halde benden pek fazla bilgili olmayan insanlarla sık sık karşılaşırım,Multiple choice,Evet,Hayır,TRUE
407,Genel olarak sakinim ve kolay sinirlenmem,Multiple choice,Evet,Hayır,TRUE
408,Bazı konular hakkında hislerimi o kadar gizleyebilirim ki insanlar bilmeden beni incitebilirler,Multiple choice,Evet,Hayır,TRUE
409,Elimde olmadan çok ufak bir şeyden münakaşa çıkarıp karşımdakini kırıyorum,Multiple choice,Evet,Hayır,TRUE
410,Madrabazı kendi silahı ile alt etmekten hoşlanırım,Multiple choice,Evet,Hayır,TRUE
411,İyi tanıdığım bir kimsenin başarısını duyduğum zaman adeta kendimi başarısızlığı uğramış hissederim 11,Multiple choice,Evet,Hayır,TRUE
412,Hastalandığım zaman doktora gitmekten korkmam,Multiple choice,Evet,Hayır,TRUE
413,Günahlarım için ne kadar ağır ceza görsem iyidir,Multiple choice,Evet,Hayır,TRUE
414,Hayal kırıklıklarını o kadar ciddiye alırım ki bunları zihnimden söküp atamam,Multiple choice,Evet,Hayır,TRUE
415,Fırsat verilse iyi bir önder olurum,Multiple choice,Evet,Hayır,TRUE
416,Yakınlarımın sağlığından çok endişe ederim,Multiple choice,Evet,Hayır,TRUE
417,Sırada beklerken biri önüme geçmeye kalkışırsa ona çıkışırım,Multiple choice,Evet,Hayır,TRUE
418,Bazen hiç bir işe yaramadığımı düşünürüm,Multiple choice,Evet,Hayır,TRUE
419,Küçükken okuldan sık sık kaçardım,Multiple choice,Evet,Hayır,TRUE
420,Başımdan dinle ilgili olağan üstü yaşantılar geçti,Multiple choice,Evet,Hayır,TRUE
421,Ailemde çok sinirli insanlar var,Multiple choice,Evet,Hayır,TRUE
422,Ailemde bazı kişilerin yapmış olduğu işler beni utandırmıştır,Multiple choice,Evet,Hayır,TRUE
423,Balık tutmayı çok severim,Multiple choice,Evet,Hayır,TRUE
424,Hemen hemen her zaman açlık duyarım,Multiple choice,Evet,Hayır,TRUE
425,Sık sık rüya görürüm,Multiple choice,Evet,Hayır,TRUE
426,Kaba ya da can sıkıcı insanlara karşı bazen sert davrandığım olur,Multiple choice,Evet,Hayır,TRUE
427,Açık saçık hikayelerden utanıp rahatsız olurum,Multiple choice,Evet,Hayır,TRUE
428,Gazetelerin baş yazılarını okumaktan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
429,Ciddi konular üzerinde verilen konferansları dinlemekten hoşlanırım,Multiple choice,Evet,Hayır,TRUE
430,Karşı cinsten olanları çekici bulurum,Multiple choice,Evet,Hayır,TRUE
431,Başa gelebilecek talihsizlikler beni oldukça telaşlandırır,Multiple choice,Evet,Hayır,TRUE
432,Kuvvetli siyasi fikirlerim vardır,Multiple choice,Evet,Hayır,TRUE
433,Bir zamanlar hayali arkadaşlarım vardı,Multiple choice,Evet,Hayır,TRUE
434,Otomobil yarışçısı olmayı isterdim,Multiple choice,Evet,Hayır,TRUE
435,Genel olarak kadınlarla çalışmayı tercih ederim,Multiple choice,Evet,Hayır,TRUE
436,İnsanlar genel olarak başkalarının haklarına saygı göstermekten çok kendi haklarına saygı gösterilmesini isterler,Multiple choice,Evet,Hayır,TRUE
437,Kanuna aykırı davranmadan kanunun bir gediğinden yararlanmakta zarar yoktur,Multiple choice,Evet,Hayır,TRUE
438,Bazı insanlardan o kadar nefret ederim ki ettiklerini bulunca içimden oh derim,Multiple choice,Evet,Hayır,TRUE
439,Beklemek zorunda kalmak beni sinirlendirir,Multiple choice,Evet,Hayır,TRUE
440,Başkalarına anlatmak için hoş fıkraları hatırımda tutmaya çalışırım,Multiple choice,Evet,Hayır,TRUE
441,Uzun boylu kadınlardan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
442,Üzüntü yüzünden uyuyamadığım zamanlar oldu,Multiple choice,Evet,Hayır,TRUE
443,Başkalarının gereği gibi yapamadığımı sandığı şeyleri yapmaktan vaz geçtiğim oldu,Multiple choice,Evet,Hayır,TRUE
444,Başkalarının cahilce inançlarının düzeltmeye çalışmam,Multiple choice,Evet,Hayır,TRUE
445,Küçükken heyecan veren şeyler yapmaktan hoşlanırdım,Multiple choice,Evet,Hayır,TRUE
446,Az parayla oynanan kumardan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
447,Mastürbasyonda kendi cinsimle ilgili hayal beni tahrik eder,Multiple choice,Evet,Hayır,TRUE
448,"Sokakta, otobüs ve dükkanlarda bana bakan insanlardan rahatsız olurum",Multiple choice,Evet,Hayır,TRUE
449,İnsanlarla bir arada olmayı sağladığı için toplantı ve davetleri severim,Multiple choice,Evet,Hayır,TRUE
450,Kalabalığın verdiği coşkudan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
451,Neşeli arkadaşlar arasına karışınca üzüntülerimi unuturum,Multiple choice,Evet,Hayır,TRUE
452,Arkadaş edinemiyorum,Multiple choice,Evet,Hayır,TRUE
453,Küçükken mahalledeki arkadaş ya da akran gruplarına katılmaktan hoşlanmazdım,Multiple choice,Evet,Hayır,TRUE
454,Orman ya da dağdaki bir kulübede tek başıma yaşamaktan mutlu olabilirim,Multiple choice,Evet,Hayır,TRUE
455,İçinde bulunduğum grubun dedikodularına ve konuşmalarına sıklıkla konu olmam,Multiple choice,Evet,Hayır,TRUE
456,İnsan makul bulmadığı kanunlara aykırı hareketlerinden ötürü cezalandırılmamalıdır,Multiple choice,Evet,Hayır,TRUE
457,Bence insan hiç bir zaman alkollü içkiyi ağzına almamalıdır 12,Multiple choice,Evet,Hayır,TRUE
458,"Çocukken benimle en fazla ilgilenen erkek baba, üvey baba vb bana karşı çok sert davranırdı",Multiple choice,Evet,Hayır,TRUE
459,Çaba göstermekle yenemeyeceğimi bildiğim bazı kötü alışkanlıklarım var,Multiple choice,Evet,Hayır,TRUE
460,Az içki kullandım ya da hiç kullanmadım,Multiple choice,Evet,Hayır,TRUE
461,Kısa bir zaman için bile olsa başladığım işi bir kenara bırakmak bana güç gelir,Multiple choice,Evet,Hayır,TRUE
462,Küçük abdestimi yapmada ya da tutmada güçlük çekmem,Multiple choice,Evet,Hayır,TRUE
463,Sek sek oyunu oynamaktan hoşlanırdım,Multiple choice,Evet,Hayır,TRUE
464,Hiç hayal görmedim,Multiple choice,Evet,Hayır,TRUE
465,Bir kaç kez hayatım boyunca yaptığım işte hevesimi yitirdiğim olmuştur,Multiple choice,Evet,Hayır,TRUE
466,Doktor önerisi dışında hiçbir ilaç ya da uyku hapı kullanmadım,Multiple choice,Evet,Hayır,TRUE
467,"Çok defa otomobil, plaka numarası gibi hiç önemli olmayan numaraları ezberlerim",Multiple choice,Evet,Hayır,TRUE
468,Sıklıkla sinirli ve asık suratlı olurum,Multiple choice,Evet,Hayır,TRUE
469,Onlardan önce düşündüğüm için başkaları benim fikirlerimi kıskanıyorlar,Multiple choice,Evet,Hayır,TRUE
470,Cinsiyetle ilgili şeylerden nefret ederim,Multiple choice,Evet,Hayır,TRUE
471,Okulda hal ve gidişten kırık not alırdım,Multiple choice,Evet,Hayır,TRUE
472,Yangın karşısında büyülenmiş gibi olurum,Multiple choice,Evet,Hayır,TRUE
473,Mümkün olduğu kadar kalabalıktan uzak kalmaya çalışırım,Multiple choice,Evet,Hayır,TRUE
474,Başkalarından daha sık küçük abdeste çıkmam,Multiple choice,Evet,Hayır,TRUE
475,Sıkıştırıldığım zaman gerçeğin ancak bana zarar vermeyecek kısmını söylerim,Multiple choice,Evet,Hayır,TRUE
476,Tanrı bana özel bir görev vermiştir,Multiple choice,Evet,Hayır,TRUE
477,Arkadaşlarımla birlikte işlediğim bir suçtan eşit şekilde suçlu olduğum zaman onları ele vermektense bütün suçu üzerime almayı tercih ederim,Multiple choice,Evet,Hayır,TRUE
478,Çok değişik bir aile ortamından gelmiş olmayı isterdim,Multiple choice,Evet,Hayır,TRUE
479,Yabancılarla tanışmaktan kaçınmam,Multiple choice,Evet,Hayır,TRUE
480,Karanlıktan çok defa korkarım,Multiple choice,Evet,Hayır,TRUE
481,Bir şeyden kurtulmak için hasta numarası yaptığım olmuştur,Multiple choice,Evet,Hayır,TRUE
482,"Trende, otobüste vb rastladığım kimselerle çok defa konuşurum",Multiple choice,Evet,Hayır,TRUE
483,Peygamberimiz göğe çıkma gibi mucizeler göstermiştir,Multiple choice,Evet,Hayır,TRUE
484,Homoseksüelliği çok iğrenç buluyorum,Multiple choice,Evet,Hayır,TRUE
485,Bir erkek bir kadınla beraber olunca genel olarak onun cinsiyetiyle ilgili şeyler düşünür,Multiple choice,Evet,Hayır,TRUE
486,İdrarımda hiç bir zaman kan görmedim,Multiple choice,Evet,Hayır,TRUE
487,Uğraştığım iş yolunda gitmeyince hemen vaz geçerim,Multiple choice,Evet,Hayır,TRUE
488,Sık sık dua ederim,Multiple choice,Evet,Hayır,TRUE
489,"Yaşamı yalnızca üzüntülü, sıkıntılı tarafları ile benimseyen insanlara sempati duyarım",Multiple choice,Evet,Hayır,TRUE
490,Haftada birkaç kere kuran okurum,Multiple choice,Evet,Hayır,TRUE
491,Sadece bir tek dinin doğruluğuna inananlara tahammül edemem,Multiple choice,Evet,Hayır,TRUE
492,Zelzele düşüncesi beni çok korkutur,Multiple choice,Evet,Hayır,TRUE
493,"Tam dikkat isteyen işleri, beni dikkatsizliğe sürükleyen işlere tercih ederim",Multiple choice,Evet,Hayır,TRUE
494,Kapalı ve küçük yerlerde bulunmaktan çok rahatsız olurum,Multiple choice,Evet,Hayır,TRUE
495,Kusurlarını düzeltmeye çalıştığım insanlarla genel olarak gayet açık konuşurum,Multiple choice,Evet,Hayır,TRUE
496,Eşyayı hiçbir zaman çift görmem (Yani tek olan şeyleri çift görmem),Multiple choice,Evet,Hayır,TRUE
497,Macera hikayelerinden hoşlanırım,Multiple choice,Evet,Hayır,TRUE
498,Açık sözlü olmak her zaman iyidir,Multiple choice,Evet,Hayır,TRUE
499,Gerçekten önemsiz olan bir şey üzerinde bazen sebepsiz olarak haddinden fazla üzüldüğüm olur,Multiple choice,Evet,Hayır,TRUE
500,Bana parlak gelen bir fikre hemen kapılır giderim,Multiple choice,Evet,Hayır,TRUE
501,Başkalarından yardım beklemektense genel olarak bir işi kendi başıma yapmayı tercih ederim 13,Multiple choice,Evet,Hayır,TRUE
502,Herhangi bir olay hakkındaki görüşümü başkalarına açıkça belirtmekten hoşlanırım,Multiple choice,Evet,Hayır,TRUE
503,Başkalarının hareketlerin çok beğenip beğenmediğimi pek belli etmem,Multiple choice,Evet,Hayır,TRUE
504,Değersiz gördüğüm ya da acıdığım kimseye bu duygularımı belli etmekten çekinmem,Multiple choice,Evet,Hayır,TRUE
505,Zaman zaman kendimi öyle güçlü ve enerjik hissederim ki böyle zamanlarda günlerce uykuya ihtiyaç duymadığım olur,Multiple choice,Evet,Hayır,TRUE
506,Sinirleri çok gergin bir insanım,Multiple choice,Evet,Hayır,TRUE
507,İşler iyi gidince aslan payını kendilerine alan fakat hata yapılanca bunu başkalarının üzerine atan insanlarla karşılaştım,Multiple choice,Evet,Hayır,TRUE
508,Koku alma duyum herkes kadar iyidir,Multiple choice,Evet,Hayır,TRUE
509,Bazen çekingenliğim yüzünden hakkımı arayamam,Multiple choice,Evet,Hayır,TRUE
510,Pislik ve kir beni ürkütüp iğrendirir,Multiple choice,Evet,Hayır,TRUE
511,Herkesten gizli tuttuğum bir hayal dünyam var,Multiple choice,Evet,Hayır,TRUE
512,Yıkanmaktan hoşlanmam,Multiple choice,Evet,Hayır,TRUE
513,Kış mevsimini severim,Multiple choice,Evet,Hayır,TRUE
514,Erkek gibi davranan kadınlardan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
515,"Evimizde daima gerekli ihtiyaç maddeleri bulunurdu (Yeteri kadar yiyecek, giyecek vb gibi)",Multiple choice,Evet,Hayır,TRUE
516,Ailemde çabuk kızan kimseler var,Multiple choice,Evet,Hayır,TRUE
517,Hiç bir şeyi iyi yapamam,Multiple choice,Evet,Hayır,TRUE
518,Bazı durumlarda olduğumdan daha fazla üzüntülü görünmeye çalıştığım olmuştur,Multiple choice,Evet,Hayır,TRUE
519,Cinsel organlarımda bir bozukluk var,Multiple choice,Evet,Hayır,TRUE
520,Genel olarak görüşlerimi kuvvetle savunurum,Multiple choice,Evet,Hayır,TRUE
521,Bir grup içinde konuşma yapmam ve çok iyi bildiğim bir konuda fikrimi söylemem istenince kaygılanmam,Multiple choice,Evet,Hayır,TRUE
522,Örümcekten korkmam,Multiple choice,Evet,Hayır,TRUE
523,Yüzüm hemen hemen hiç kızarmaz,Multiple choice,Evet,Hayır,TRUE
524,Kapı tokmaklarından hastalık veya mikrop alacağımdan korkmam,Multiple choice,Evet,Hayır,TRUE
525,Bazı hayvanlardan ürkerim,Multiple choice,Evet,Hayır,TRUE
526,Gelecek bana ümitsiz görünüyor,Multiple choice,Evet,Hayır,TRUE
527,Ailem ve yakın akrabalarım birbirleriyle oldukça iyi geçinirler,Multiple choice,Evet,Hayır,TRUE
528,Yüzüm başkalarından daha sik kızarmaz,Multiple choice,Evet,Hayır,TRUE
529,Pahalı elbiseler giymeyi isterim,Multiple choice,Evet,Hayır,TRUE
530,Sebepsiz yere sık sık içim sıkılıyor ve ağlamak istiyorum,Multiple choice,Evet,Hayır,TRUE
531,Bir konu üzerinde karar verdiğimi zannetsem bile başka biri fikrimi kolayca değiştirebilir,Multiple choice,Evet,Hayır,TRUE
532,Acıya başkaları kadar ben de dayanabilirim,Multiple choice,Evet,Hayır,TRUE
533,Sık sık geğirmekten şikayetim yoktur,Multiple choice,Evet,Hayır,TRUE
534,Çoğunlukla başladığım işten en son vazgeçen ben olurum,Multiple choice,Evet,Hayır,TRUE
535,Hemen hemen her zaman ağzımda kuruluk olur,Multiple choice,Evet,Hayır,TRUE
536,Beni acele ettirenlere kızarım,Multiple choice,Evet,Hayır,TRUE
537,Afrika'da aslan avına çıkmak isterdim,Multiple choice,Evet,Hayır,TRUE
538,Terzilikten hoşlanabileceğimi sanıyorum,Multiple choice,Evet,Hayır,TRUE
539,Fareden korkmam,Multiple choice,Evet,Hayır,TRUE
540,Yüzüme hiç felç inmedi,Multiple choice,Evet,Hayır,TRUE
541,Cildime ufak bir şeyin dokunmasından çok huylanırım,Multiple choice,Evet,Hayır,TRUE
542,Şimdiye kadar rengi kapkara büyük abdest yapmadım,Multiple choice,Evet,Hayır,TRUE
543,Haftada birkaç kez korkunç bir şey olacakmış duygusuna kapılırım,Multiple choice,Evet,Hayır,TRUE
544,Çoğu zaman yorgunluk hissederim 14,Multiple choice,Evet,Hayır,TRUE
545,Bazen aynı rüyayı tekrar tekrar görürüm,Multiple choice,Evet,Hayır,TRUE
546,Tarih okumaktan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
547,Toplantı ve kalabalık eğlencelerden hoşlanırım,Multiple choice,Evet,Hayır,TRUE
548,Elimdeyse açık saçık numaraların yapılacağı eğence yerlerine gitmem,Multiple choice,Evet,Hayır,TRUE
549,Karşıma çıkacak güçlüklerden korkak ve kaçarım,Multiple choice,Evet,Hayır,TRUE
550,Kapı mandallarını onarmaktan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
551,Bazen başkalarının kafamın içindekilerindi okuduğundan eminim,Multiple choice,Evet,Hayır,TRUE
552,Bilimsel yayınları okumaktan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
553,Açık yerlerde veya geniş meydanlarda tek başıma kalmaktan korkarım,Multiple choice,Evet,Hayır,TRUE
554,Sıkıntım oldukça alkol alırım,Multiple choice,Evet,Hayır,TRUE
555,Bazen çıldıracakmış gibi olurum,Multiple choice,Evet,Hayır,TRUE
556,Kılık kıyafetime çok itina ederim,Multiple choice,Evet,Hayır,TRUE
557,Hayatı fazla ciddiye almıyorum,Multiple choice,Evet,Hayır,TRUE
558,Birçok kimseler kötü cinsel faaliyetlerinden dolayı suçludurlar,Multiple choice,Evet,Hayır,TRUE
559,Gece yarısı çoğunlukla korkuya kapıldığım olur,Multiple choice,Evet,Hayır,TRUE
560,Bir şeyi nereye koyduğumu unutmaktan çok şikayetçiyimdir,Multiple choice,Evet,Hayır,TRUE
561,Ailem benim için büyük bir dayanaktır,Multiple choice,Evet,Hayır,TRUE
562,Çocukken en fazla bağlandığım ve hayran kaldığım kimse bir kadındı,Multiple choice,Evet,Hayır,TRUE
563,Macera hikayelerini aşk hikayelerinden daha çok severim,Multiple choice,Evet,Hayır,TRUE
564,Yapmak istediğim fakat başkalarının beğenmediği bir işten kolayca vazgeçerim,Multiple choice,Evet,Hayır,TRUE
565,Yüksek bir yerde iken içimden atlama isteği gelir,Multiple choice,Evet,Hayır,TRUE
566,Sinemalardaki aşk sahnelerini severim,Multiple choice,Evet,Hayır,TRUE
